"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"18100","92241_at","RCSD1","92241","RCSD domain containing 1"
"18101","92249_at","LINC01278","92249","long intergenic non-protein coding RNA 1278"
"18102","92255_at","LMBRD2","92255","LMBR1 domain containing 2"
"18103","92259_at","MRPS36","92259","mitochondrial ribosomal protein S36"
"18104","92270_at","ATP6AP1L","92270","ATPase H+ transporting accessory protein 1 like"
"18105","9227_at","LRAT","9227","lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)"
"18106","92283_at","ZNF461","92283","zinc finger protein 461"
"18107","92285_at","ZNF585B","92285","zinc finger protein 585B"
"18108","9228_at","DLGAP2","9228","DLG associated protein 2"
"18109","92291_at","CAPN13","92291","calpain 13"
"18110","92292_at","GLYATL1","92292","glycine-N-acyltransferase like 1"
"18111","92293_at","TMEM132C","92293","transmembrane protein 132C"
"18112","9229_at","DLGAP1","9229","DLG associated protein 1"
"18113","922_at","CD5L","922","CD5 molecule like"
"18114","92304_at","SCGB3A1","92304","secretoglobin family 3A member 1"
"18115","92305_at","TMEM129","92305","transmembrane protein 129"
"18116","9230_at","RAB11B","9230","RAB11B, member RAS oncogene family"
"18117","92312_at","MEX3A","92312","mex-3 RNA binding family member A"
"18118","9231_at","DLG5","9231","discs large MAGUK scaffold protein 5"
"18119","9232_at","PTTG1","9232","pituitary tumor-transforming 1"
"18120","92335_at","STRADA","92335","STE20-related kinase adaptor alpha"
"18121","92340_at","PRR29","92340","proline rich 29"
"18122","92342_at","METTL18","92342","methyltransferase like 18"
"18123","92344_at","GORAB","92344","golgin, RAB6 interacting"
"18124","92345_at","NAF1","92345","nuclear assembly factor 1 ribonucleoprotein"
"18125","92346_at","C1orf105","92346","chromosome 1 open reading frame 105"
"18126","92359_at","CRB3","92359","crumbs 3, cell polarity complex component"
"18127","9235_at","IL32","9235","interleukin 32"
"18128","92369_at","SPSB4","92369","splA/ryanodine receptor domain and SOCS box containing 4"
"18129","9236_at","CCPG1","9236","cell cycle progression 1"
"18130","92370_at","PXYLP1","92370","2-phosphoxylose phosphatase 1"
"18131","9238_at","TBRG4","9238","transforming growth factor beta regulator 4"
"18132","92399_at","MRRF","92399","mitochondrial ribosome recycling factor"
"18133","923_at","CD6","923","CD6 molecule"
"18134","92400_at","RBM18","92400","RNA binding motif protein 18"
"18135","9240_at","PNMA1","9240","paraneoplastic Ma antigen 1"
"18136","9241_at","NOG","9241","noggin"
"18137","92421_at","CHMP4C","92421","charged multivesicular body protein 4C"
"18138","9242_at","MSC","9242","musculin"
"18139","9244_at","CRLF1","9244","cytokine receptor like factor 1"
"18140","9245_at","GCNT3","9245","glucosaminyl (N-acetyl) transferase 3, mucin type"
"18141","9246_at","UBE2L6","9246","ubiquitin conjugating enzyme E2 L6"
"18142","9247_at","GCM2","9247","glial cells missing homolog 2"
"18143","92482_at","BBIP1","92482","BBSome interacting protein 1"
"18144","92483_at","LDHAL6B","92483","lactate dehydrogenase A like 6B"
"18145","9248_at","GPR50","9248","G protein-coupled receptor 50"
"18146","9249_at","DHRS3","9249","dehydrogenase/reductase 3"
"18147","924_at","CD7","924","CD7 molecule"
"18148","92521_at","SPECC1","92521","sperm antigen with calponin homology and coiled-coil domains 1"
"18149","9252_at","RPS6KA5","9252","ribosomal protein S6 kinase A5"
"18150","9253_at","NUMBL","9253","NUMB like, endocytic adaptor protein"
"18151","9254_at","CACNA2D2","9254","calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"18152","92552_at","ATXN3L","92552","ataxin 3 like"
"18153","92558_at","BICDL1","92558","BICD family like cargo adaptor 1"
"18154","9255_at","AIMP1","9255","aminoacyl tRNA synthetase complex interacting multifunctional protein 1"
"18155","92565_at","FANK1","92565","fibronectin type III and ankyrin repeat domains 1"
"18156","9256_at","TSPOAP1","9256","TSPO associated protein 1"
"18157","92579_at","G6PC3","92579","glucose-6-phosphatase catalytic subunit 3"
"18158","9258_at","MFHAS1","9258","malignant fibrous histiocytoma amplified sequence 1"
"18159","92591_at","ASB16","92591","ankyrin repeat and SOCS box containing 16"
"18160","92595_at","ZNF764","92595","zinc finger protein 764"
"18161","92597_at","MOB1B","92597","MOB kinase activator 1B"
"18162","925_at","CD8A","925","CD8a molecule"
"18163","92609_at","TIMM50","92609","translocase of inner mitochondrial membrane 50"
"18164","9260_at","PDLIM7","9260","PDZ and LIM domain 7"
"18165","92610_at","TIFA","92610","TRAF interacting protein with forkhead associated domain"
"18166","9261_at","MAPKAPK2","9261","mitogen-activated protein kinase-activated protein kinase 2"
"18167","9262_at","STK17B","9262","serine/threonine kinase 17b"
"18168","9263_at","STK17A","9263","serine/threonine kinase 17a"
"18169","92659_at","MAFG-AS1","92659","MAFG antisense RNA 1 (head to head)"
"18170","9265_at","CYTH3","9265","cytohesin 3"
"18171","92667_at","MGME1","92667","mitochondrial genome maintenance exonuclease 1"
"18172","9266_at","CYTH2","9266","cytohesin 2"
"18173","92675_at","DTD1","92675","D-tyrosyl-tRNA deacylase 1"
"18174","9267_at","CYTH1","9267","cytohesin 1"
"18175","92689_at","FAM114A1","92689","family with sequence similarity 114 member A1"
"18176","92691_at","TMEM169","92691","transmembrane protein 169"
"18177","926_at","CD8B","926","CD8b molecule"
"18178","9270_at","ITGB1BP1","9270","integrin subunit beta 1 binding protein 1"
"18179","92714_at","ARRDC1","92714","arrestin domain containing 1"
"18180","92715_at","DPH7","92715","diphthamide biosynthesis 7"
"18181","9271_at","PIWIL1","9271","piwi like RNA-mediated gene silencing 1"
"18182","92737_at","DNER","92737","delta/notch like EGF repeat containing"
"18183","92745_at","SLC38A5","92745","solute carrier family 38 member 5"
"18184","92747_at","BPIFB1","92747","BPI fold containing family B member 1"
"18185","92749_at","DRC1","92749","dynein regulatory complex subunit 1"
"18186","9274_at","BCL7C","9274","BCL tumor suppressor 7C"
"18187","9275_at","BCL7B","9275","BCL tumor suppressor 7B"
"18188","9276_at","COPB2","9276","coatomer protein complex subunit beta 2"
"18189","9277_at","WDR46","9277","WD repeat domain 46"
"18190","9278_at","ZBTB22","9278","zinc finger and BTB domain containing 22"
"18191","92797_at","HELB","92797","DNA helicase B"
"18192","92799_at","SHKBP1","92799","SH3KBP1 binding protein 1"
"18193","92806_at","CENPBD1","92806","CENPB DNA-binding domain containing 1"
"18194","92822_at","ZNF276","92822","zinc finger protein 276"
"18195","9282_at","MED14","9282","mediator complex subunit 14"
"18196","9283_at","GPR37L1","9283","G protein-coupled receptor 37 like 1"
"18197","92840_at","REEP6","92840","receptor accessory protein 6"
"18198","92856_at","IMP4","92856","IMP4 homolog, U3 small nucleolar ribonucleoprotein"
"18199","9287_at","TAAR2","9287","trace amine associated receptor 2 (gene/pseudogene)"
"18200","9288_at","TAAR3P","9288","trace amine associated receptor 3, pseudogene"
"18201","9289_at","ADGRG1","9289","adhesion G protein-coupled receptor G1"
"18202","928_at","CD9","928","CD9 molecule"
"18203","92906_at","HNRNPLL","92906","heterogeneous nuclear ribonucleoprotein L like"
"18204","9290_at","GPR55","9290","G protein-coupled receptor 55"
"18205","92912_at","UBE2Q2","92912","ubiquitin conjugating enzyme E2 Q2"
"18206","92922_at","CCDC102A","92922","coiled-coil domain containing 102A"
"18207","92935_at","MARS2","92935","methionyl-tRNA synthetase 2, mitochondrial"
"18208","9293_at","GPR52","9293","G protein-coupled receptor 52"
"18209","92949_at","ADAMTSL1","92949","ADAMTS like 1"
"18210","9294_at","S1PR2","9294","sphingosine-1-phosphate receptor 2"
"18211","9295_at","SRSF11","9295","serine and arginine rich splicing factor 11"
"18212","92960_at","PEX11G","92960","peroxisomal biogenesis factor 11 gamma"
"18213","9296_at","ATP6V1F","9296","ATPase H+ transporting V1 subunit F"
"18214","92973_at","LINC00950","92973","long intergenic non-protein coding RNA 950"
"18215","92979_at","MARCH9","92979","membrane associated ring-CH-type finger 9"
"18216","92999_at","ZBTB47","92999","zinc finger and BTB domain containing 47"
"18217","929_at","CD14","929","CD14 molecule"
"18218","92_at","ACVR2A","92","activin A receptor type 2A"
"18219","93010_at","B3GNT7","93010","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
"18220","93034_at","NT5C1B","93034","5'-nucleotidase, cytosolic IB"
"18221","93035_at","PKHD1L1","93035","PKHD1 like 1"
"18222","93058_at","COQ10A","93058","coenzyme Q10A"
"18223","9306_at","SOCS6","9306","suppressor of cytokine signaling 6"
"18224","93081_at","TEX30","93081","testis expressed 30"
"18225","93082_at","NEURL3","93082","neuralized E3 ubiquitin protein ligase 3"
"18226","9308_at","CD83","9308","CD83 molecule"
"18227","93099_at","DMKN","93099","dermokine"
"18228","930_at","CD19","930","CD19 molecule"
"18229","93100_at","NAPRT","93100","nicotinate phosphoribosyltransferase"
"18230","93109_at","TMEM44","93109","transmembrane protein 44"
"18231","9310_at","ZNF235","9310","zinc finger protein 235"
"18232","9311_at","ASIC3","9311","acid sensing ion channel subunit 3"
"18233","93129_at","ORAI3","93129","ORAI calcium release-activated calcium modulator 3"
"18234","9312_at","KCNB2","9312","potassium voltage-gated channel subfamily B member 2"
"18235","93134_at","ZNF561","93134","zinc finger protein 561"
"18236","9313_at","MMP20","9313","matrix metallopeptidase 20"
"18237","93145_at","OLFM2","93145","olfactomedin 2"
"18238","9314_at","KLF4","9314","Kruppel like factor 4"
"18239","9315_at","NREP","9315","neuronal regeneration related protein"
"18240","93164_at","HTR7P1","93164","5-hydroxytryptamine receptor 7 pseudogene 1"
"18241","93166_at","PRDM6","93166","PR/SET domain 6"
"18242","9317_at","PTER","9317","phosphotriesterase related"
"18243","93183_at","PIGM","93183","phosphatidylinositol glycan anchor biosynthesis class M"
"18244","93185_at","IGSF8","93185","immunoglobulin superfamily member 8"
"18245","9318_at","COPS2","9318","COP9 signalosome subunit 2"
"18246","93190_at","C1orf158","93190","chromosome 1 open reading frame 158"
"18247","9319_at","TRIP13","9319","thyroid hormone receptor interactor 13"
"18248","931_at","MS4A1","931","membrane spanning 4-domains A1"
"18249","9320_at","TRIP12","9320","thyroid hormone receptor interactor 12"
"18250","93210_at","PGAP3","93210","post-GPI attachment to proteins 3"
"18251","9321_at","TRIP11","9321","thyroid hormone receptor interactor 11"
"18252","9322_at","TRIP10","9322","thyroid hormone receptor interactor 10"
"18253","93233_at","CCDC114","93233","coiled-coil domain containing 114"
"18254","9324_at","HMGN3","9324","high mobility group nucleosomal binding domain 3"
"18255","9325_at","TRIP4","9325","thyroid hormone receptor interactor 4"
"18256","9326_at","ZNHIT3","9326","zinc finger HIT-type containing 3"
"18257","93273_at","LEMD1","93273","LEM domain containing 1"
"18258","9328_at","GTF3C5","9328","general transcription factor IIIC subunit 5"
"18259","9329_at","GTF3C4","9329","general transcription factor IIIC subunit 4"
"18260","932_at","MS4A3","932","membrane spanning 4-domains A3"
"18261","9330_at","GTF3C3","9330","general transcription factor IIIC subunit 3"
"18262","9331_at","B4GALT6","9331","beta-1,4-galactosyltransferase 6"
"18263","93323_at","HAUS8","93323","HAUS augmin like complex subunit 8"
"18264","9332_at","CD163","9332","CD163 molecule"
"18265","9333_at","TGM5","9333","transglutaminase 5"
"18266","93343_at","MVB12A","93343","multivesicular body subunit 12A"
"18267","93349_at","SP140L","93349","SP140 nuclear body protein like"
"18268","9334_at","B4GALT5","9334","beta-1,4-galactosyltransferase 5"
"18269","93377_at","OPALIN","93377","oligodendrocytic myelin paranodal and inner loop protein"
"18270","9337_at","CNOT8","9337","CCR4-NOT transcription complex subunit 8"
"18271","93380_at","MMGT1","93380","membrane magnesium transporter 1"
"18272","9338_at","TCEAL1","9338","transcription elongation factor A like 1"
"18273","933_at","CD22","933","CD22 molecule"
"18274","93408_at","MYL10","93408","myosin light chain 10"
"18275","9340_at","GLP2R","9340","glucagon like peptide 2 receptor"
"18276","9341_at","VAMP3","9341","vesicle associated membrane protein 3"
"18277","93426_at","SYCE1","93426","synaptonemal complex central element protein 1"
"18278","93429_at","LOC93429","93429","uncharacterized LOC93429"
"18279","9342_at","SNAP29","9342","synaptosome associated protein 29"
"18280","93432_at","MGAM2","93432","maltase-glucoamylase 2 (putative)"
"18281","93436_at","ARMC6","93436","armadillo repeat containing 6"
"18282","9343_at","EFTUD2","9343","elongation factor Tu GTP binding domain containing 2"
"18283","9344_at","TAOK2","9344","TAO kinase 2"
"18284","93474_at","ZNF670","93474","zinc finger protein 670"
"18285","93487_at","MAPK1IP1L","93487","mitogen-activated protein kinase 1 interacting protein 1 like"
"18286","9348_at","NDST3","9348","N-deacetylase and N-sulfotransferase 3"
"18287","9349_at","RPL23","9349","ribosomal protein L23"
"18288","9350_at","CER1","9350","cerberus 1, DAN family BMP antagonist"
"18289","93517_at","SDR42E1","93517","short chain dehydrogenase/reductase family 42E, member 1"
"18290","9351_at","SLC9A3R2","9351","SLC9A3 regulator 2"
"18291","9352_at","TXNL1","9352","thioredoxin like 1"
"18292","9353_at","SLIT2","9353","slit guidance ligand 2"
"18293","9354_at","UBE4A","9354","ubiquitination factor E4A"
"18294","93550_at","ZFAND4","93550","zinc finger AN1-type containing 4"
"18295","93556_at","EGFEM1P","93556","EGF like and EMI domain containing 1, pseudogene"
"18296","9355_at","LHX2","9355","LIM homeobox 2"
"18297","9356_at","SLC22A6","9356","solute carrier family 22 member 6"
"18298","93587_at","TRMT10A","93587","tRNA methyltransferase 10A"
"18299","93589_at","CACNA2D4","93589","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
"18300","9358_at","ITGBL1","9358","integrin subunit beta like 1"
"18301","93594_at","TBC1D31","93594","TBC1 domain family member 31"
"18302","9360_at","PPIG","9360","peptidylprolyl isomerase G"
"18303","93611_at","FBXO44","93611","F-box protein 44"
"18304","9361_at","LONP1","9361","lon peptidase 1, mitochondrial"
"18305","93621_at","MRFAP1","93621","Morf4 family associated protein 1"
"18306","93622_at","LOC93622","93622","Morf4 family associated protein 1 like 1 pseudogene"
"18307","93624_at","TADA2B","93624","transcriptional adaptor 2B"
"18308","93627_at","TBCK","93627","TBC1 domain containing kinase"
"18309","9362_at","CPNE6","9362","copine 6"
"18310","9363_at","RAB33A","9363","RAB33A, member RAS oncogene family"
"18311","93643_at","TJAP1","93643","tight junction associated protein 1"
"18312","93649_at","MYOCD","93649","myocardin"
"18313","9364_at","RAB28","9364","RAB28, member RAS oncogene family"
"18314","93650_at","ACPT","93650","acid phosphatase, testicular"
"18315","93653_at","ST7-AS1","93653","ST7 antisense RNA 1"
"18316","93654_at","ST7-AS2","93654","ST7 antisense RNA 2"
"18317","9365_at","KL","9365","klotho"
"18318","93661_at","CAPZA3","93661","capping actin protein of muscle Z-line alpha subunit 3"
"18319","93663_at","ARHGAP18","93663","Rho GTPase activating protein 18"
"18320","93664_at","CADPS2","93664","calcium dependent secretion activator 2"
"18321","93668_at","HPYR1","93668","Helicobacter pylori responsive 1 (non-protein coding)"
"18322","9366_at","RAB9BP1","9366","RAB9B, member RAS oncogene family pseudogene 1"
"18323","9367_at","RAB9A","9367","RAB9A, member RAS oncogene family"
"18324","9368_at","SLC9A3R1","9368","SLC9A3 regulator 1"
"18325","9369_at","NRXN3","9369","neurexin 3"
"18326","9370_at","ADIPOQ","9370","adiponectin, C1Q and collagen domain containing"
"18327","9371_at","KIF3B","9371","kinesin family member 3B"
"18328","9372_at","ZFYVE9","9372","zinc finger FYVE-type containing 9"
"18329","9373_at","PLAA","9373","phospholipase A2 activating protein"
"18330","9374_at","PPT2","9374","palmitoyl-protein thioesterase 2"
"18331","9375_at","TM9SF2","9375","transmembrane 9 superfamily member 2"
"18332","9376_at","SLC22A8","9376","solute carrier family 22 member 8"
"18333","9377_at","COX5A","9377","cytochrome c oxidase subunit 5A"
"18334","9378_at","NRXN1","9378","neurexin 1"
"18335","9379_at","NRXN2","9379","neurexin 2"
"18336","9380_at","GRHPR","9380","glyoxylate and hydroxypyruvate reductase"
"18337","9381_at","OTOF","9381","otoferlin"
"18338","9382_at","COG1","9382","component of oligomeric golgi complex 1"
"18339","9383_at","TSIX","9383","TSIX transcript, XIST antisense RNA"
"18340","9388_at","LIPG","9388","lipase G, endothelial type"
"18341","9389_at","SLC22A14","9389","solute carrier family 22 member 14"
"18342","9390_at","SLC22A13","9390","solute carrier family 22 member 13"
"18343","9391_at","CIAO1","9391","cytosolic iron-sulfur assembly component 1"
"18344","9392_at","TGFBRAP1","9392","transforming growth factor beta receptor associated protein 1"
"18345","93953_at","GCNA","93953","germ cell nuclear acidic peptidase"
"18346","93973_at","ACTR8","93973","ARP8 actin-related protein 8 homolog"
"18347","93974_at","ATPIF1","93974","ATPase inhibitory factor 1"
"18348","93979_at","CPA5","93979","carboxypeptidase A5"
"18349","9397_at","NMT2","9397","N-myristoyltransferase 2"
"18350","93986_at","FOXP2","93986","forkhead box P2"
"18351","9398_at","CD101","9398","CD101 molecule"
"18352","9399_at","STOML1","9399","stomatin like 1"
"18353","939_at","CD27","939","CD27 molecule"
"18354","93_at","ACVR2B","93","activin A receptor type 2B"
"18355","94005_at","PIGS","94005","phosphatidylinositol glycan anchor biosynthesis class S"
"18356","9400_at","RECQL5","9400","RecQ like helicase 5"
"18357","94015_at","TTYH2","94015","tweety family member 2"
"18358","9401_at","RECQL4","9401","RecQ like helicase 4"
"18359","94025_at","MUC16","94025","mucin 16, cell surface associated"
"18360","94026_at","POM121L2","94026","POM121 transmembrane nucleoporin like 2"
"18361","9402_at","GRAP2","9402","GRB2-related adaptor protein 2"
"18362","94030_at","LRRC4B","94030","leucine rich repeat containing 4B"
"18363","94031_at","HTRA3","94031","HtrA serine peptidase 3"
"18364","94032_at","CAMK2N2","94032","calcium/calmodulin dependent protein kinase II inhibitor 2"
"18365","94039_at","ZNF101","94039","zinc finger protein 101"
"18366","9403_at","SELENOF","9403","selenoprotein F"
"18367","9404_at","LPXN","9404","leupaxin"
"18368","94056_at","SYAP1","94056","synapse associated protein 1"
"18369","94059_at","LENG9","94059","leukocyte receptor cluster member 9"
"18370","9406_at","ZRANB2","9406","zinc finger RANBP2-type containing 2"
"18371","9407_at","TMPRSS11D","9407","transmembrane protease, serine 11D"
"18372","94081_at","SFXN1","94081","sideroflexin 1"
"18373","94086_at","HSPB9","94086","heat shock protein family B (small) member 9"
"18374","94097_at","SFXN5","94097","sideroflexin 5"
"18375","9409_at","PEX16","9409","peroxisomal biogenesis factor 16"
"18376","940_at","CD28","940","CD28 molecule"
"18377","94101_at","ORMDL1","94101","ORMDL sphingolipid biosynthesis regulator 1"
"18378","94103_at","ORMDL3","94103","ORMDL sphingolipid biosynthesis regulator 3"
"18379","94104_at","PAXBP1","94104","PAX3 and PAX7 binding protein 1"
"18380","94107_at","TMEM203","94107","transmembrane protein 203"
"18381","9410_at","SNRNP40","9410","small nuclear ribonucleoprotein U5 subunit 40"
"18382","9411_at","ARHGAP29","9411","Rho GTPase activating protein 29"
"18383","94120_at","SYTL3","94120","synaptotagmin like 3"
"18384","94121_at","SYTL4","94121","synaptotagmin like 4"
"18385","94122_at","SYTL5","94122","synaptotagmin like 5"
"18386","9412_at","MED21","9412","mediator complex subunit 21"
"18387","94134_at","ARHGAP12","94134","Rho GTPase activating protein 12"
"18388","94137_at","RP1L1","94137","RP1 like 1"
"18389","9413_at","FAM189A2","9413","family with sequence similarity 189 member A2"
"18390","9414_at","TJP2","9414","tight junction protein 2"
"18391","9415_at","FADS2","9415","fatty acid desaturase 2"
"18392","94160_at","ABCC12","94160","ATP binding cassette subfamily C member 12"
"18393","9416_at","DDX23","9416","DEAD-box helicase 23"
"18394","9419_at","CRIPT","9419","CXXC repeat containing interactor of PDZ3 domain"
"18395","941_at","CD80","941","CD80 molecule"
"18396","9420_at","CYP7B1","9420","cytochrome P450 family 7 subfamily B member 1"
"18397","9421_at","HAND1","9421","heart and neural crest derivatives expressed 1"
"18398","9422_at","ZNF264","9422","zinc finger protein 264"
"18399","94233_at","OPN4","94233","opsin 4"
"18400","94234_at","FOXQ1","94234","forkhead box Q1"
"18401","94235_at","GNG8","94235","G protein subunit gamma 8"
"18402","94239_at","H2AFV","94239","H2A histone family member V"
"18403","9423_at","NTN1","9423","netrin 1"
"18404","94240_at","EPSTI1","94240","epithelial stromal interaction 1"
"18405","94241_at","TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"18406","9424_at","KCNK6","9424","potassium two pore domain channel subfamily K member 6"
"18407","9425_at","CDYL","9425","chromodomain Y like"
"18408","94274_at","PPP1R14A","94274","protein phosphatase 1 regulatory inhibitor subunit 14A"
"18409","9427_at","ECEL1","9427","endothelin converting enzyme like 1"
"18410","9429_at","ABCG2","9429","ATP binding cassette subfamily G member 2 (Junior blood group)"
"18411","942_at","CD86","942","CD86 molecule"
"18412","9435_at","CHST2","9435","carbohydrate sulfotransferase 2"
"18413","9436_at","NCR2","9436","natural cytotoxicity triggering receptor 2"
"18414","9437_at","NCR1","9437","natural cytotoxicity triggering receptor 1"
"18415","9439_at","MED23","9439","mediator complex subunit 23"
"18416","943_at","TNFRSF8","943","TNF receptor superfamily member 8"
"18417","9440_at","MED17","9440","mediator complex subunit 17"
"18418","9441_at","MED26","9441","mediator complex subunit 26"
"18419","9442_at","MED27","9442","mediator complex subunit 27"
"18420","9443_at","MED7","9443","mediator complex subunit 7"
"18421","9444_at","QKI","9444","QKI, KH domain containing RNA binding"
"18422","9445_at","ITM2B","9445","integral membrane protein 2B"
"18423","9446_at","GSTO1","9446","glutathione S-transferase omega 1"
"18424","9447_at","AIM2","9447","absent in melanoma 2"
"18425","9448_at","MAP4K4","9448","mitogen-activated protein kinase kinase kinase kinase 4"
"18426","944_at","TNFSF8","944","TNF superfamily member 8"
"18427","9450_at","LY86","9450","lymphocyte antigen 86"
"18428","9451_at","EIF2AK3","9451","eukaryotic translation initiation factor 2 alpha kinase 3"
"18429","9452_at","ITM2A","9452","integral membrane protein 2A"
"18430","9453_at","GGPS1","9453","geranylgeranyl diphosphate synthase 1"
"18431","9454_at","HOMER3","9454","homer scaffolding protein 3"
"18432","9455_at","HOMER2","9455","homer scaffolding protein 2"
"18433","9456_at","HOMER1","9456","homer scaffolding protein 1"
"18434","9457_at","FHL5","9457","four and a half LIM domains 5"
"18435","9459_at","ARHGEF6","9459","Rac/Cdc42 guanine nucleotide exchange factor 6"
"18436","945_at","CD33","945","CD33 molecule"
"18437","9462_at","RASAL2","9462","RAS protein activator like 2"
"18438","9463_at","PICK1","9463","protein interacting with PRKCA 1"
"18439","9464_at","HAND2","9464","heart and neural crest derivatives expressed 2"
"18440","9465_at","AKAP7","9465","A-kinase anchoring protein 7"
"18441","9466_at","IL27RA","9466","interleukin 27 receptor subunit alpha"
"18442","9467_at","SH3BP5","9467","SH3 domain binding protein 5"
"18443","9468_at","PCYT1B","9468","phosphate cytidylyltransferase 1, choline, beta"
"18444","9469_at","CHST3","9469","carbohydrate sulfotransferase 3"
"18445","946_at","SIGLEC6","946","sialic acid binding Ig like lectin 6"
"18446","9470_at","EIF4E2","9470","eukaryotic translation initiation factor 4E family member 2"
"18447","9472_at","AKAP6","9472","A-kinase anchoring protein 6"
"18448","9473_at","THEMIS2","9473","thymocyte selection associated family member 2"
"18449","9474_at","ATG5","9474","autophagy related 5"
"18450","9475_at","ROCK2","9475","Rho associated coiled-coil containing protein kinase 2"
"18451","9476_at","NAPSA","9476","napsin A aspartic peptidase"
"18452","9477_at","MED20","9477","mediator complex subunit 20"
"18453","9478_at","CABP1","9478","calcium binding protein 1"
"18454","9479_at","MAPK8IP1","9479","mitogen-activated protein kinase 8 interacting protein 1"
"18455","947_at","CD34","947","CD34 molecule"
"18456","9480_at","ONECUT2","9480","one cut homeobox 2"
"18457","9481_at","SLC25A27","9481","solute carrier family 25 member 27"
"18458","9482_at","STX8","9482","syntaxin 8"
"18459","9486_at","CHST10","9486","carbohydrate sulfotransferase 10"
"18460","9487_at","PIGL","9487","phosphatidylinositol glycan anchor biosynthesis class L"
"18461","9488_at","PIGB","9488","phosphatidylinositol glycan anchor biosynthesis class B"
"18462","9489_at","PGS1","9489","phosphatidylglycerophosphate synthase 1"
"18463","948_at","CD36","948","CD36 molecule"
"18464","9491_at","PSMF1","9491","proteasome inhibitor subunit 1"
"18465","9493_at","KIF23","9493","kinesin family member 23"
"18466","9495_at","AKAP5","9495","A-kinase anchoring protein 5"
"18467","9496_at","TBX4","9496","T-box 4"
"18468","9497_at","SLC4A7","9497","solute carrier family 4 member 7"
"18469","9498_at","SLC4A8","9498","solute carrier family 4 member 8"
"18470","9499_at","MYOT","9499","myotilin"
"18471","949_at","SCARB1","949","scavenger receptor class B member 1"
"18472","94_at","ACVRL1","94","activin A receptor like type 1"
"18473","9500_at","MAGED1","9500","MAGE family member D1"
"18474","9501_at","RPH3AL","9501","rabphilin 3A like (without C2 domains)"
"18475","9506_at","PAGE4","9506","PAGE family member 4"
"18476","9508_at","ADAMTS3","9508","ADAM metallopeptidase with thrombospondin type 1 motif 3"
"18477","9509_at","ADAMTS2","9509","ADAM metallopeptidase with thrombospondin type 1 motif 2"
"18478","950_at","SCARB2","950","scavenger receptor class B member 2"
"18479","9510_at","ADAMTS1","9510","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"18480","9512_at","PMPCB","9512","peptidase, mitochondrial processing beta subunit"
"18481","9513_at","FXR2","9513","FMR1 autosomal homolog 2"
"18482","9514_at","GAL3ST1","9514","galactose-3-O-sulfotransferase 1"
"18483","9515_at","STXBP5L","9515","syntaxin binding protein 5 like"
"18484","9516_at","LITAF","9516","lipopolysaccharide induced TNF factor"
"18485","9517_at","SPTLC2","9517","serine palmitoyltransferase long chain base subunit 2"
"18486","9518_at","GDF15","9518","growth differentiation factor 15"
"18487","9519_at","TBPL1","9519","TATA-box binding protein like 1"
"18488","951_at","CD37","951","CD37 molecule"
"18489","9520_at","NPEPPS","9520","aminopeptidase puromycin sensitive"
"18490","9521_at","EEF1E1","9521","eukaryotic translation elongation factor 1 epsilon 1"
"18491","9522_at","SCAMP1","9522","secretory carrier membrane protein 1"
"18492","9525_at","VPS4B","9525","vacuolar protein sorting 4 homolog B"
"18493","9526_at","MPDU1","9526","mannose-P-dolichol utilization defect 1"
"18494","9527_at","GOSR1","9527","golgi SNAP receptor complex member 1"
"18495","9528_at","TMEM59","9528","transmembrane protein 59"
"18496","9529_at","BAG5","9529","BCL2 associated athanogene 5"
"18497","952_at","CD38","952","CD38 molecule"
"18498","9530_at","BAG4","9530","BCL2 associated athanogene 4"
"18499","9531_at","BAG3","9531","BCL2 associated athanogene 3"
"18500","9532_at","BAG2","9532","BCL2 associated athanogene 2"
"18501","9533_at","POLR1C","9533","RNA polymerase I subunit C"
"18502","9534_at","ZNF254","9534","zinc finger protein 254"
"18503","9535_at","GMFG","9535","glia maturation factor gamma"
"18504","9536_at","PTGES","9536","prostaglandin E synthase"
"18505","9537_at","TP53I11","9537","tumor protein p53 inducible protein 11"
"18506","9538_at","EI24","9538","EI24, autophagy associated transmembrane protein"
"18507","953_at","ENTPD1","953","ectonucleoside triphosphate diphosphohydrolase 1"
"18508","9540_at","TP53I3","9540","tumor protein p53 inducible protein 3"
"18509","9541_at","CIR1","9541","corepressor interacting with RBPJ, 1"
"18510","9542_at","NRG2","9542","neuregulin 2"
"18511","9543_at","IGDCC3","9543","immunoglobulin superfamily DCC subclass member 3"
"18512","9545_at","RAB3D","9545","RAB3D, member RAS oncogene family"
"18513","9546_at","APBA3","9546","amyloid beta precursor protein binding family A member 3"
"18514","9547_at","CXCL14","9547","C-X-C motif chemokine ligand 14"
"18515","954_at","ENTPD2","954","ectonucleoside triphosphate diphosphohydrolase 2"
"18516","9550_at","ATP6V1G1","9550","ATPase H+ transporting V1 subunit G1"
"18517","9551_at","ATP5J2","9551","ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2"
